fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-07-30
domain;smtp_host:smtp_port;smtp_login_template
2die4.com;smtp.mail.com:465;%EMAILADDRESS%
accountant.com;smtp.mail.com:465;%EMAILADDRESS%
activist.com;smtp.mail.com:465;%EMAILADDRESS%
adexec.com;smtp.mail.com:465;%EMAILADDRESS%
africamail.com;smtp.mail.com:465;%EMAILADDRESS%
aircraftmail.com;smtp.mail.com:465;%EMAILADDRESS%
alabama.usa.com;smtp.mail.com:465;%EMAILADDRESS%
alaska.usa.com;smtp.mail.com:465;%EMAILADDRESS%
allergist.com;smtp.mail.com:465;%EMAILADDRESS%
alumni.com;smtp.mail.com:465;%EMAILADDRESS%
alumnidirector.com;smtp.mail.com:465;%EMAILADDRESS%
americamail.com;smtp.mail.com:465;%EMAILADDRESS%
ameritech.net;outbound.att.net:465;%EMAILADDRESS%
amorous.com;smtp.mail.com:465;%EMAILADDRESS%
angelic.com;smtp.mail.com:465;%EMAILADDRESS%
archaeologist.com;smtp.mail.com:465;%EMAILADDRESS%
arizona.usa.com;smtp.mail.com:465;%EMAILADDRESS%
artlover.com;smtp.mail.com:465;%EMAILADDRESS%
asia-mail.com;smtp.mail.com:465;%EMAILADDRESS%
atheist.com;smtp.mail.com:465;%EMAILADDRESS%
att.net;outbound.att.net:465;%EMAILADDRESS%
australiamail.com;smtp.mail.com:465;%EMAILADDRESS%
bartender.net;smtp.mail.com:465;%EMAILADDRESS%
bellsouth.net;outbound.att.net:465;%EMAILADDRESS%
berlin.com;smtp.mail.com:465;%EMAILADDRESS%
bresnan.net;mobile.charter.net:587;%EMAILADDRESS%
centurylink.net;smtp.centurylink.net:587;%EMAILADDRESS%
centurytel.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
charter.net;mobile.charter.net:587;%EMAILADDRESS%
cheerful.com;smtp.mail.com:465;%EMAILADDRESS%
clds.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
coastalnow.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
cochill.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
comcast.net;smtp.comcast.net:465;%EMAILADDRESS%
consultant.com;smtp.mail.com:465;%EMAILADDRESS%
cswnet.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
dr.com;smtp.mail.com:465;%EMAILADDRESS%
emadisonriver.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
emadisonriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
email.com;smtp.mail.com:465;%EMAILADDRESS%
engineer.com;smtp.mail.com:465;%EMAILADDRESS%
europe.com;smtp.mail.com:465;%EMAILADDRESS%
flash.net;outbound.att.net:465;%EMAILADDRESS%
gallatinriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
grics.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
gulftel.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
iname.com;smtp.mail.com:465;%EMAILADDRESS%
linuxmail.org;smtp.mail.com:465;%EMAILADDRESS%
london.com;smtp.mail.com:465;%EMAILADDRESS%
madisonriver.biz;smtpauth.centurytel.net:587;%EMAILADDRESS%
mail.com;smtp.mail.com:465;%EMAILADDRESS%
mail.org;smtp.mail.com:465;%EMAILADDRESS%
mebtel.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
myself.com;smtp.mail.com:465;%EMAILADDRESS%
nvbell.net;outbound.att.net:465;%EMAILADDRESS%
optimum.net;mail.optimum.net:465;%EMAILADDRESS%
optonline.net;mail.optonline.net:465;%EMAILADDRESS%
pacbell.net;outbound.att.net:465;%EMAILADDRESS%
post.com;smtp.mail.com:465;%EMAILADDRESS%
prodigy.net;outbound.att.net:465;%EMAILADDRESS%
sbcglobal.net;outbound.att.net:465;%EMAILADDRESS%
snet.net;outbound.att.net:465;%EMAILADDRESS%
spectrum.net;mobile.charter.net:587;%EMAILADDRESS%
swbell.net;outbound.att.net:465;%EMAILADDRESS%
techie.com;smtp.mail.com:465;%EMAILADDRESS%
usa.com;smtp.mail.com:465;%EMAILADDRESS%
uymail.com;smtp.mail.com:465;%EMAILADDRESS%
verizon.net;smtp.verizon.net:465;%EMAILLOCALPART%
virgin.net;smtp.virgin.net:465;%EMAILADDRESS%
wans.net;outbound.att.net:465;%EMAILADDRESS%
writeme.com;smtp.mail.com:465;%EMAILADDRESS%

